polygon_id,zone_layer,source_band,zone_id,count,mean,sum,min,max,Scenario,percentage_of_sum,LST Zone
Global,lst_classification_twin_map.tif,Población con educación básica incompleta,1,4305,0.012215299,52.58686,0.0,0.06072764,Base,12.805644989013672,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Población con educación básica incompleta,2,3515,0.041932315,147.39209,0.0,0.3276761,Base,35.892059326171875,Zona de transición
Global,lst_classification_twin_map.tif,Población con educación básica incompleta,3,5486,0.03819296,209.52658,0.0,0.3276761,Base,51.02268981933594,Zona de impacto
Global,lst_classification_twin_map.tif,Población con educación básica incompleta,4,143,0.008029512,1.1482202,0.0,0.032605544,Base,0.2796078622341156,Zona núcleo
Global,lst_classification_intervention_map.tif,Población con educación básica incompleta,1,4449,0.0135613065,60.33425,0.0,0.07572106,Intervención,14.692243576049805,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Población con educación básica incompleta,2,4188,0.045599777,190.97186,0.0,0.23915128,Intervención,46.50435256958008,Zona de transición
Global,lst_classification_intervention_map.tif,Población con educación básica incompleta,3,4776,0.033337694,159.22083,0.0,0.3276761,Intervención,38.77252197265625,Zona de impacto
Global,lst_classification_intervention_map.tif,Población con educación básica incompleta,4,36,0.0035223989,0.12680636,0.0,0.03170159,Intervención,0.030879143625497818,Zona núcleo
Global,lst_classification_twin_map.tif,Hogares con jefas de familia,1,4305,0.008553535,36.822968,0.0,0.04108183,Base,14.446685791015625,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Hogares con jefas de familia,2,3515,0.028018601,98.48538,0.0,0.2545107,Base,38.638587951660156,Zona de transición
Global,lst_classification_twin_map.tif,Hogares con jefas de familia,3,5486,0.02164149,118.725204,0.0,0.2545107,Base,46.57923889160156,Zona de impacto
Global,lst_classification_twin_map.tif,Hogares con jefas de familia,4,143,0.00597984,0.85511714,0.0,0.024420721,Base,0.335486501455307,Zona núcleo
Global,lst_classification_intervention_map.tif,Hogares con jefas de familia,1,4449,0.009477296,42.16449,0.0,0.051224776,Intervención,16.542316436767578,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Hogares con jefas de familia,2,4188,0.027443388,114.932915,0.0,0.18575221,Intervención,45.09141540527344,Zona de transición
Global,lst_classification_intervention_map.tif,Hogares con jefas de familia,3,4776,0.020456694,97.70117,0.0,0.2545107,Intervención,38.33091735839844,Zona de impacto
Global,lst_classification_intervention_map.tif,Hogares con jefas de familia,4,36,0.002502895,0.09010422,0.0,0.022526056,Intervención,0.03535041958093643,Zona núcleo
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas sin todos los servicios,1,4305,0.0011935346,5.1381664,0.0,0.013727205,Base,23.7918701171875,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas sin todos los servicios,2,3515,0.002250648,7.911028,0.0,0.013727205,Base,36.631385803222656,Zona de transición
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas sin todos los servicios,3,5486,0.001555206,8.53186,0.0,0.01289828,Base,39.506099700927734,Zona de impacto
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas sin todos los servicios,4,143,0.00010669737,0.015257725,0.0,0.0038144311,Base,0.07064967602491379,Zona núcleo
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas sin todos los servicios,1,4449,0.0012760946,5.677345,0.0,0.013727205,Intervención,26.28849220275879,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas sin todos los servicios,2,4188,0.002252613,9.433943,0.0,0.013166446,Intervención,43.6831169128418,Zona de transición
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas sin todos los servicios,3,4776,0.0013546417,6.469769,0.0,0.013727205,Intervención,29.957748413085938,Zona de impacto
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas sin todos los servicios,4,36,0.0004238257,0.015257725,0.0,0.0038144311,Intervención,0.07064966857433319,Zona núcleo
1,lst_classification_twin_map.tif,Población total,2,104,0.105162345,10.936884,0.0016193194,0.28404766,Base,3.4046432971954346,Zona de transición
1,lst_classification_twin_map.tif,Población total,3,1573,0.19272989,303.16412,0.0,0.46493518,Base,94.374755859375,Zona de impacto
1,lst_classification_twin_map.tif,Población total,4,35,0.20380946,7.133331,0.19886452,0.22771,Base,2.2206003665924072,Zona núcleo
1,lst_classification_intervention_map.tif,Población total,2,281,0.17152649,48.198944,0.0,0.30881372,Intervención,15.004293441772461,Zona de transición
1,lst_classification_intervention_map.tif,Población total,3,1431,0.19080041,273.0354,0.0,0.46493518,Intervención,84.9957046508789,Zona de impacto
1,lst_classification_twin_map.tif,Población infantil,2,104,0.020731105,2.156035,0.0003192234,0.055995543,Base,3.2431418895721436,Zona de transición
1,lst_classification_twin_map.tif,Población infantil,3,1573,0.040244747,63.304985,0.0,0.09347543,Base,95.224365234375,Zona de impacto
1,lst_classification_twin_map.tif,Población infantil,4,35,0.029108439,1.0187954,0.02840219,0.032521952,Base,1.5324881076812744,Zona núcleo
1,lst_classification_intervention_map.tif,Población infantil,2,281,0.03381376,9.501666,0.0,0.060877785,Intervención,14.292557716369629,Zona de transición
1,lst_classification_intervention_map.tif,Población infantil,3,1431,0.039817017,56.978153,0.0,0.09347543,Intervención,85.70744323730469,Zona de impacto
1,lst_classification_twin_map.tif,Población adolescente,2,104,0.07505263,7.8054733,0.0011556816,0.20272014,Base,3.4258029460906982,Zona de transición
1,lst_classification_twin_map.tif,Población adolescente,3,1573,0.13648292,214.68764,0.0,0.33181655,Base,94.22587585449219,Zona de impacto
1,lst_classification_twin_map.tif,Población adolescente,4,35,0.15287177,5.350512,0.14916272,0.17079888,Base,2.3483264446258545,Zona núcleo
1,lst_classification_intervention_map.tif,Población adolescente,2,281,0.12241562,34.39879,0.0,0.22039525,Intervención,15.097541809082031,Zona de transición
1,lst_classification_intervention_map.tif,Población adolescente,3,1431,0.13518158,193.44484,0.0,0.33181655,Intervención,84.90245819091797,Zona de impacto
1,lst_classification_twin_map.tif,Población de 3ra edad,2,104,0.009383226,0.97585547,0.00014448554,0.025344465,Base,3.6245360374450684,Zona de transición
1,lst_classification_twin_map.tif,Población de 3ra edad,3,1573,0.016009694,25.183249,0.0,0.04148435,Base,93.53597259521484,Zona de impacto
1,lst_classification_twin_map.tif,Población de 3ra edad,4,35,0.021842659,0.76449305,0.021312699,0.024404125,Base,2.8394908905029297,Zona núcleo
1,lst_classification_intervention_map.tif,Población de 3ra edad,2,281,0.01530464,4.300604,0.0,0.027554242,Intervención,15.97336196899414,Zona de transición
1,lst_classification_intervention_map.tif,Población de 3ra edad,3,1431,0.01580922,22.622993,0.0,0.04148435,Intervención,84.0266342163086,Zona de impacto
1,lst_classification_twin_map.tif,Población femenina,2,104,0.0385072,4.004749,0.0005929447,0.10400948,Base,3.501594066619873,Zona de transición
1,lst_classification_twin_map.tif,Población femenina,3,1573,0.06886625,108.326614,0.0,0.17024489,Base,94.71651458740234,Zona de impacto
1,lst_classification_twin_map.tif,Población femenina,4,35,0.058226816,2.0379386,0.056814082,0.06505501,Base,1.781893014907837,Zona núcleo
1,lst_classification_intervention_map.tif,Población femenina,2,281,0.06280771,17.648966,0.0,0.11307804,Intervención,15.431558609008789,Zona de transición
1,lst_classification_intervention_map.tif,Población femenina,3,1431,0.067589335,96.72034,0.0,0.17024489,Intervención,84.56844329833984,Zona de impacto
1,lst_classification_twin_map.tif,Hogares con jefes de familia de 60 años y más,2,104,0.007902371,0.8218466,0.00012168294,0.021344619,Base,3.30267596244812,Zona de transición
1,lst_classification_twin_map.tif,Hogares con jefes de familia de 60 años y más,3,1573,0.014811098,23.297857,0.0,0.03493732,Base,93.62486267089844,Zona de impacto
1,lst_classification_twin_map.tif,Hogares con jefes de familia de 60 años y más,4,35,0.021844616,0.76456153,0.021314608,0.024406312,Base,3.07246994972229,Zona núcleo
